"コントロールカラム","ジャンルid","パス名"
"","320407","インナー・ルームウェア>メンズインナー>トランクス"
"","320408","インナー・ルームウェア>メンズインナー>ブリーフ"
"","320409","インナー・ルームウェア>メンズインナー>ボクサーパンツ"
"","320410","インナー・ルームウェア>メンズインナー>福袋"
"","320411","インナー・ルームウェア>メンズインナー>補正下着"
"","320412","インナー・ルームウェア>メンズインナー>Tバック"
"","320413","インナー・ルームウェア>メンズインナー>ビキニパンツ"
"","320401","インナー・ルームウェア>メンズインナー>その他メンズインナー"
"","320502","インナー・ルームウェア>メンズナイトウェア・ルームウェア>ナイトガウン"
"","320503","インナー・ルームウェア>メンズナイトウェア・ルームウェア>パジャマ"
"","320504","インナー・ルームウェア>メンズナイトウェア・ルームウェア>ルームウェア"
"","320501","インナー・ルームウェア>メンズナイトウェア・ルームウェア>その他メンズナイトウェア・ルームウェア"
"","320601","インナー・ルームウェア>メンズ靴下>5本指ソックス"
"","320602","インナー・ルームウェア>メンズ靴下>くるぶしソックス"
"","320604","インナー・ルームウェア>メンズ靴下>カバーソックス・フットカバー"
"","320605","インナー・ルームウェア>メンズ靴下>ソックス"
"","320606","インナー・ルームウェア>メンズ靴下>タビ靴下"
"","320607","インナー・ルームウェア>メンズ靴下>ハイソックス"
"","320608","インナー・ルームウェア>メンズ靴下>ビジネスソックス"
"","320609","インナー・ルームウェア>メンズ靴下>レギンス"
"","320610","インナー・ルームウェア>メンズ靴下>レッグウォーマー"
"","320611","インナー・ルームウェア>メンズ靴下>メンズレギンス"
"","320612","インナー・ルームウェア>メンズ靴下>ももひき"
"","320603","インナー・ルームウェア>メンズ靴下>その他メンズ靴下"
"","32070201","インナー・ルームウェア>レディースインナー>ショーツ>Tバック・タンガ"
"","32070203","インナー・ルームウェア>レディースインナー>ショーツ>サニタリー"
"","32070204","インナー・ルームウェア>レディースインナー>ショーツ>スタンダード"
"","32070205","インナー・ルームウェア>レディースインナー>ショーツ>ヒップハンガー"
"","32070206","インナー・ルームウェア>レディースインナー>ショーツ>ボックスショーツ・ボーイレッグ"
"","32070202","インナー・ルームウェア>レディースインナー>ショーツ>その他ショーツ"
"","320703","インナー・ルームウェア>レディースインナー>ストラップ"
"","320704","インナー・ルームウェア>レディースインナー>セクシーインナー"
"","320705","インナー・ルームウェア>レディースインナー>パッド"
"","32070601","インナー・ルームウェア>レディースインナー>ブラ>1/2カップブラ"
"","32070602","インナー・ルームウェア>レディースインナー>ブラ>3/4カップブラ"
"","32070604","インナー・ルームウェア>レディースインナー>ブラ>シリコンブラ"
"","32070605","インナー・ルームウェア>レディースインナー>ブラ>ストラップレスブラ"
"","32070606","インナー・ルームウェア>レディースインナー>ブラ>スポーツブラ"
"","32070607","インナー・ルームウェア>レディースインナー>ブラ>ナイトブラ"
"","32070608","インナー・ルームウェア>レディースインナー>ブラ>ノンワイヤーブラ"
"","32070609","インナー・ルームウェア>レディースインナー>ブラ>フルカップブラ"
"","32070610","インナー・ルームウェア>レディースインナー>ブラ>ブラジャー単品"
"","32070611","インナー・ルームウェア>レディースインナー>ブラ>ブラトップ"
"","32070603","インナー・ルームウェア>レディースインナー>ブラ>その他ブラ"
"","32070701","インナー・ルームウェア>レディースインナー>ブラショーツ>1/2カップブラショーツ"
"","32070702","インナー・ルームウェア>レディースインナー>ブラショーツ>3/4カップブラショーツ"
"","32070704","インナー・ルームウェア>レディースインナー>ブラショーツ>ナイトブラショーツ"
"","32070705","インナー・ルームウェア>レディースインナー>ブラショーツ>フルカップブラショーツ"
"","32070706","インナー・ルームウェア>レディースインナー>ブラショーツ>三角ブラショーツ"
"","32070703","インナー・ルームウェア>レディースインナー>ブラショーツ>その他ブラショーツ"
"","320708","インナー・ルームウェア>レディースインナー>ペチコート"
"","320709","インナー・ルームウェア>レディースインナー>布ナプキン"
"","320710","インナー・ルームウェア>レディースインナー>福袋"
