コントロールフラグ,商品番号,商品カテゴリ名,商品カテゴリID
n,11343,ミズノ,11259
n,11344,ミズノ,11265
n,11345,ミズノ,11267
n,11346,ミズノ,6577
n,11347,ミズノ,6581
n,11348,ウェア,9780
n,11350,ウォーキングポール,11349
n,11351,アクセサリ・小物,9639
n,11352,バッグ,9780
n,11353,ミズノ,11180
n,11354,トレーニング用品,10304
n,11355,ソックス,11254
n,11356,ソックス,11255
n,11359,ネックウォーマー・ネックガード,11253
n,11360,キャップ・バイザー,11253
n,11361,その他,11041
n,11363,トップス・シャツ,11362
n,11364,ボトムス,11362
n,11365,グローブ,11253
n,11366,ラスティ（RUSTY）,9432
n,11367,ジェーンスタイル,5999
n,11368,ワールドペガサス,7235
n,11374,2XU,11066
n,11375,スタッド,11048
n,11376,ウンドウ（wundou）,11615
n,11377,その他,10218
n,11378,その他,10219
n,11379,その他,10248
n,11380,その他,10230
n,11381,その他,10231
n,11382,その他,8005
n,11383,その他,6000
n,11384,その他,6002
n,11385,その他,6004
n,11386,その他,5998
n,11387,その他,5999
n,11388,その他,6001
n,11389,その他,6003
n,11390,その他,6521
n,11391,その他,6522
n,11393,ラスティ（RUSTY）,11392
n,11396,スパイクピン,11395
n,11397,アシックス,8777
n,11399,バボラ,4649
n,11402,ラコステ,8776
n,11403,ダンスキン,9019
n,11404,エレッセ,5221
n,11405,その他,7231
n,11408,ディアドラ,11407
n,11410,セントクリストファー,8776
n,11412,セントクリストファー,4975
n,11423,グラウンドゴルフ用品,11422
n,11424,パークゴルフ,11422
n,11425,コースグッズ,5898
n,11426,ミズノ,8995
n,11430,SALE 競泳水着,11429
n,11431,アリーナ,11430
n,11433,ミズノ,11432
n,11434,アシックス,11432
n,11435,アディダス,11432
n,11437,シューズ,9454
n,11440,ミズノ,11439
n,11441,アシックス,8537
n,11443,アシックス,8539
n,11444,インソール,4591
n,11445,コースグッズ,5925
n,11448,ボール,11446
n,11449,アクセサリ・小物,11446
n,11452,ゲートボール用品,11422
n,11453,ウォーキング用品,11422
n,11455,カンタベリー,11454
n,11456,ラケット,5326
n,11457,ラバー,5326
n,11458,ウェア,5326
n,11459,アクセサリ・小物・ラケット備品・バッグ,5326
